Orders,Units,Price/unit,Sales,Date,Status,Product Line,MSRP,City,State,Country
10103,45,75.63,3403,1/29/2003,Shipped,Trucks and Buses,64,Stavern,,Norway
10103,42,100,4461,1/29/2003,Shipped,Classic Cars,101,Stavern,,Norway
10104,34,100,5959,1/31/2003,Shipped,Classic Cars,151,Madrid,,Spain
10104,41,100,4616,1/31/2003,Shipped,Trucks and Buses,118,Madrid,,Spain
10104,24,100,3458,1/31/2003,Shipped,Classic Cars,163,Madrid,,Spain
10104,29,100,3773,1/31/2003,Shipped,Trucks and Buses,122,Madrid,,Spain
10104,23,100,4557,1/31/2003,Shipped,Classic Cars,169,Madrid,,Spain
10104,38,100,5349,1/31/2003,Shipped,Classic Cars,143,Madrid,,Spain
10104,35,55.49,1942,1/31/2003,Shipped,Classic Cars,57,Madrid,,Spain
10104,44,39.6,1742,1/31/2003,Shipped,Classic Cars,35,Madrid,,Spain
10104,26,100,2922,1/31/2003,Shipped,Classic Cars,118,Madrid,,Spain
10104,35,47.62,1667,1/31/2003,Shipped,Trucks and Buses,54,Madrid,,Spain
10104,49,65.87,3228,1/31/2003,Shipped,Trains,62,Madrid,,Spain
10104,33,100,3705,1/31/2003,Shipped,Trucks and Buses,115,Madrid,,Spain
10104,32,53.31,1706,1/31/2003,Shipped,Trains,58,Madrid,,Spain
10105,50,100,7208,2/11/2003,Shipped,Classic Cars,136,Kobenhavn,,Denmark
10105,41,100,8690,2/11/2003,Shipped,Classic Cars,207,Kobenhavn,,Denmark
10105,29,100,4566,2/11/2003,Shipped,Classic Cars,173,Kobenhavn,,Denmark
10105,22,100,3065,2/11/2003,Shipped,Vintage Cars,136,Kobenhavn,,Denmark
10105,38,100,4330,2/11/2003,Shipped,Trains,100,Kobenhavn,,Denmark
10105,41,82.5,3383,2/11/2003,Shipped,Vintage Cars,87,Kobenhavn,,Denmark
10105,43,100,6341,2/11/2003,Shipped,Ships,122,Kobenhavn,,Denmark
10105,44,72.58,3194,2/11/2003,Shipped,Vintage Cars,88,Kobenhavn,,Denmark
10105,50,79.67,3984,2/11/2003,Shipped,Vintage Cars,83,Kobenhavn,,Denmark
10105,41,70.67,2897,2/11/2003,Shipped,Ships,66,Kobenhavn,,Denmark
10105,29,70.15,2034,2/11/2003,Shipped,Ships,86,Kobenhavn,,Denmark
10105,31,65.77,2039,2/11/2003,Shipped,Ships,72,Kobenhavn,,Denmark
10105,39,81.14,3164,2/11/2003,Shipped,Ships,100,Kobenhavn,,Denmark
10105,22,100,2556,2/11/2003,Shipped,Ships,99,Kobenhavn,,Denmark
10105,25,56.78,1420,2/11/2003,Shipped,Ships,54,Kobenhavn,,Denmark
10106,36,100,5279,2/17/2003,Shipped,Planes,157,Bergamo,,Italy
10106,34,90.39,3073,2/17/2003,Shipped,Planes,84,Bergamo,,Italy
10106,41,83.44,3421,2/17/2003,Shipped,Ships,86,Bergamo,,Italy
10106,41,100,4775,2/17/2003,Shipped,Vintage Cars,105,Bergamo,,Italy
10106,28,88.63,2482,2/17/2003,Shipped,Planes,109,Bergamo,,Italy
10106,49,74.68,3659,2/17/2003,Shipped,Planes,68,Bergamo,,Italy
10106,31,52.6,1631,2/17/2003,Shipped,Vintage Cars,65,Bergamo,,Italy
10106,50,64.83,3242,2/17/2003,Shipped,Planes,68,Bergamo,,Italy
10106,26,63.76,1658,2/17/2003,Shipped,Planes,72,Bergamo,,Italy
10106,33,72.92,2406,2/17/2003,Shipped,Vintage Cars,68,Bergamo,,Italy
10106,39,40.15,1566,2/17/2003,Shipped,Vintage Cars,43,Bergamo,,Italy
10106,31,100,3313,2/17/2003,Shipped,Planes,91,Bergamo,,Italy
10106,30,100,3177,2/17/2003,Shipped,Ships,90,Bergamo,,Italy
10106,34,100,3763,2/17/2003,Shipped,Planes,99,Bergamo,,Italy
10106,32,100,3987,2/17/2003,Shipped,Planes,118,Bergamo,,Italy
10106,44,74.4,3274,2/17/2003,Shipped,Planes,80,Bergamo,,Italy
10106,48,61.44,2949,2/17/2003,Shipped,Planes,74,Bergamo,,Italy
10106,48,52.64,2527,2/17/2003,Shipped,Planes,49,Bergamo,,Italy
10107,30,95.7,2871,2/24/2003,Shipped,Motorcycles,95,NYC,NY,USA
10107,39,99.91,3896,2/24/2003,Shipped,Motorcycles,118,NYC,NY,USA
10107,27,100,6066,2/24/2003,Shipped,Motorcycles,193,NYC,NY,USA
10107,21,100,3037,2/24/2003,Shipped,Motorcycles,150,NYC,NY,USA
10107,29,70.87,2055,2/24/2003,Shipped,Motorcycles,60,NYC,NY,USA
10107,25,100,2846,2/24/2003,Shipped,Motorcycles,112,NYC,NY,USA
10107,38,83.03,3155,2/24/2003,Shipped,Motorcycles,76,NYC,NY,USA
10107,20,92.9,1858,2/24/2003,Shipped,Motorcycles,99,NYC,NY,USA
10108,33,100,5265,3/3/2003,Shipped,Classic Cars,194,Makati City,,Philippines
10108,45,100,6130,3/3/2003,Shipped,Classic Cars,117,Makati City,,Philippines
10108,39,89.38,3486,3/3/2003,Shipped,Classic Cars,79,Makati City,,Philippines
10108,36,100,3731,3/3/2003,Shipped,Classic Cars,115,Makati City,,Philippines
10108,38,82.39,3131,3/3/2003,Shipped,Classic Cars,77,Makati City,,Philippines
10108,26,68.35,1777,3/3/2003,Shipped,Classic Cars,80,Makati City,,Philippines
10108,29,100,4050,3/3/2003,Shipped,Classic Cars,146,Makati City,,Philippines
10108,43,67.77,2914,3/3/2003,Shipped,Motorcycles,62,Makati City,,Philippines
10108,44,100,5565,3/3/2003,Shipped,Classic Cars,148,Makati City,,Philippines
10108,35,58.87,2060,3/3/2003,Shipped,Motorcycles,69,Makati City,,Philippines
10108,30,63.07,1892,3/3/2003,Shipped,Classic Cars,61,Makati City,,Philippines
10108,40,100,5449,3/3/2003,Shipped,Classic Cars,140,Makati City,,Philippines
10108,31,68.71,2130,3/3/2003,Shipped,Classic Cars,80,Makati City,,Philippines
10108,27,43.45,1173,3/3/2003,Shipped,Motorcycles,40,Makati City,,Philippines
10108,31,100,3670,3/3/2003,Shipped,Motorcycles,102,Makati City,,Philippines
10108,34,82.99,2822,3/3/2003,Shipped,Motorcycles,81,Makati City,,Philippines
10109,26,100,4379,3/10/2003,Shipped,Classic Cars,141,Philadelphia,PA,USA
10109,38,100,4433,3/10/2003,Shipped,Classic Cars,142,Philadelphia,PA,USA
10109,26,100,3157,3/10/2003,Shipped,Classic Cars,132,Philadelphia,PA,USA
10109,46,100,8257,3/10/2003,Shipped,Classic Cars,169,Philadelphia,PA,USA
10109,47,100,6242,3/10/2003,Shipped,Classic Cars,141,Philadelphia,PA,USA
10109,29,32.1,931,3/10/2003,Shipped,Classic Cars,37,Philadelphia,PA,USA
10110,37,100,5433,3/18/2003,Shipped,Classic Cars,124,Manchester,,UK
10110,42,100,6069,3/18/2003,Shipped,Vintage Cars,170,Manchester,,UK
10110,32,50.25,1608,3/18/2003,Shipped,Vintage Cars,60,Manchester,,UK
10110,33,100,3860,3/18/2003,Shipped,Vintage Cars,127,Manchester,,UK
10110,31,100,5074,3/18/2003,Shipped,Vintage Cars,168,Manchester,,UK
10110,28,89.27,2500,3/18/2003,Shipped,Vintage Cars,92,Manchester,,UK
10110,42,61.29,2574,3/18/2003,Shipped,Classic Cars,71,Manchester,,UK
10110,36,85.25,3069,3/18/2003,Shipped,Classic Cars,73,Manchester,,UK
10110,29,59.37,1722,3/18/2003,Shipped,Classic Cars,50,Manchester,,UK
10110,20,35.51,710,3/18/2003,Shipped,Vintage Cars,33,Manchester,,UK
10110,39,44.35,1730,3/18/2003,Shipped,Vintage Cars,44,Manchester,,UK
10110,43,78.15,3360,3/18/2003,Shipped,Classic Cars,90,Manchester,,UK
10110,46,100,5942,3/18/2003,Shipped,Classic Cars,117,Manchester,,UK
10110,27,73.62,1988,3/18/2003,Shipped,Classic Cars,85,Manchester,,UK
10110,37,100,3724,3/18/2003,Shipped,Classic Cars,107,Manchester,,UK
10110,48,34.47,1655,3/18/2003,Shipped,Vintage Cars,41,Manchester,,UK
10112,29,100,7209,3/24/2003,Shipped,Classic Cars,214,Lule,,Sweden
10112,23,100,2540,3/24/2003,Shipped,Vintage Cars,101,Lule,,Sweden
10111,33,99.66,3289,3/25/2003,Shipped,Vintage Cars,102,San Francisco,CA,USA
10111,48,49.06,2355,3/25/2003,Shipped,Vintage Cars,53,San Francisco,CA,USA
10111,28,64.33,1801,3/25/2003,Shipped,Vintage Cars,62,San Francisco,CA,USA
10111,43,100,4818,3/25/2003,Shipped,Vintage Cars,104,San Francisco,CA,USA
10111,39,100,4179,3/25/2003,Shipped,Vintage Cars,99,San Francisco,CA,USA
10111,26,86.68,2254,3/25/2003,Shipped,Vintage Cars,97,San Francisco,CA,USA
10113,21,100,3415,3/26/2003,Shipped,Trucks and Buses,136,San Rafael,CA,USA
10113,49,100,4917,3/26/2003,Shipped,Trucks and Buses,116,San Rafael,CA,USA
10113,50,49.81,2491,3/26/2003,Shipped,Vintage Cars,50,San Rafael,CA,USA
10113,23,68.52,1576,3/26/2003,Shipped,Trucks and Buses,64,San Rafael,CA,USA
10114,31,100,4305,4/1/2003,Shipped,Classic Cars,147,Paris,,France
10114,39,100,4164,4/1/2003,Shipped,Trucks and Buses,122,Paris,,France
10114,45,68.67,3090,4/1/2003,Shipped,Trucks and Buses,60,Paris,,France
10114,48,100,8209,4/1/2003,Shipped,Classic Cars,169,Paris,,France
10114,41,100,4815,4/1/2003,Shipped,Trucks and Buses,121,Paris,,France
10114,21,100,2925,4/1/2003,Shipped,Trucks and Buses,127,Paris,,France
10114,24,30.06,721,4/1/2003,Shipped,Classic Cars,35,Paris,,France
10114,32,100,3668,4/1/2003,Shipped,Trucks and Buses,96,Paris,,France
10114,28,55.73,1560,4/1/2003,Shipped,Trucks and Buses,54,Paris,,France
10114,42,100,4758,4/1/2003,Shipped,Classic Cars,101,Paris,,France
10115,46,100,5724,4/4/2003,Shipped,Trucks and Buses,118,NYC,NY,USA
10115,46,100,7381,4/4/2003,Shipped,Classic Cars,163,NYC,NY,USA
10115,47,69.36,3260,4/4/2003,Shipped,Classic Cars,57,NYC,NY,USA
10115,44,100,5569,4/4/2003,Shipped,Classic Cars,118,NYC,NY,USA
10115,27,100,2844,4/4/2003,Shipped,Trucks and Buses,115,NYC,NY,USA
10116,27,63.38,1711,4/11/2003,Shipped,Trains,62,Charleroi,,Belgium
10117,33,100,6034,4/16/2003,Shipped,Classic Cars,207,Singapore,,Singapore
10117,43,100,5912,4/16/2003,Shipped,Classic Cars,151,Singapore,,Singapore
10117,39,100,5938,4/16/2003,Shipped,Classic Cars,173,Singapore,,Singapore
10117,26,100,3551,4/16/2003,Shipped,Vintage Cars,136,Singapore,,Singapore
10117,21,95.8,2012,4/16/2003,Shipped,Trains,100,Singapore,,Singapore
10117,22,100,2781,4/16/2003,Shipped,Classic Cars,143,Singapore,,Singapore
10117,23,97.42,2241,4/16/2003,Shipped,Vintage Cars,87,Singapore,,Singapore
10117,41,100,5190,4/16/2003,Shipped,Ships,122,Singapore,,Singapore
10117,21,49.21,1033,4/16/2003,Shipped,Trains,58,Singapore,,Singapore
10117,38,79.68,3028,4/16/2003,Shipped,Ships,86,Singapore,,Singapore
10117,45,83.42,3754,4/16/2003,Shipped,Ships,99,Singapore,,Singapore
10117,50,43.68,2184,4/16/2003,Shipped,Ships,54,Singapore,,Singapore
10118,36,100,4219,4/21/2003,Shipped,Ships,100,Barcelona,,Spain
10119,46,100,5005,4/28/2003,Shipped,Classic Cars,136,Salzburg,,Austria
10119,43,100,6916,4/28/2003,Shipped,Planes,157,Salzburg,,Austria
10119,21,89.46,1879,4/28/2003,Shipped,Ships,86,Salzburg,,Austria
10119,27,99.52,2687,4/28/2003,Shipped,Vintage Cars,105,Salzburg,,Austria
10119,41,59.6,2444,4/28/2003,Shipped,Planes,68,Salzburg,,Austria
10119,35,87.62,3067,4/28/2003,Shipped,Vintage Cars,88,Salzburg,,Austria
10119,20,72.98,1460,4/28/2003,Shipped,Vintage Cars,65,Salzburg,,Austria
10119,35,90.57,3170,4/28/2003,Shipped,Vintage Cars,83,Salzburg,,Austria
10119,28,70.29,1968,4/28/2003,Shipped,Planes,68,Salzburg,,Austria
10119,25,76.67,1917,4/28/2003,Shipped,Ships,66,Salzburg,,Austria
10119,29,94.14,2730,4/28/2003,Shipped,Ships,90,Salzburg,,Austria
10119,38,65.77,2499,4/28/2003,Shipped,Ships,72,Salzburg,,Austria
10119,26,59.22,1540,4/28/2003,Shipped,Planes,74,Salzburg,,Austria
10119,28,48.17,1349,4/28/2003,Shipped,Planes,49,Salzburg,,Austria
10120,29,96.34,2794,4/29/2003,Shipped,Motorcycles,118,Melbourne,Victoria,Australia
10120,46,100,9265,4/29/2003,Shipped,Motorcycles,193,Melbourne,Victoria,Australia
10120,29,71.81,2082,4/29/2003,Shipped,Planes,84,Melbourne,Victoria,Australia
10120,46,58.15,2675,4/29/2003,Shipped,Motorcycles,60,Melbourne,Victoria,Australia
10120,35,98.05,3432,4/29/2003,Shipped,Motorcycles,112,Melbourne,Victoria,Australia
10120,39,100,4652,4/29/2003,Shipped,Planes,109,Melbourne,Victoria,Australia
10120,34,83.79,2849,4/29/2003,Shipped,Motorcycles,76,Melbourne,Victoria,Australia
10120,29,85.49,2479,4/29/2003,Shipped,Planes,72,Melbourne,Victoria,Australia
10120,22,100,2461,4/29/2003,Shipped,Motorcycles,99,Melbourne,Victoria,Australia
10120,29,72.23,2095,4/29/2003,Shipped,Vintage Cars,68,Melbourne,Victoria,Australia
10120,49,50.62,2480,4/29/2003,Shipped,Vintage Cars,43,Melbourne,Victoria,Australia
10120,47,82.21,3864,4/29/2003,Shipped,Planes,91,Melbourne,Victoria,Australia
10120,24,100,2585,4/29/2003,Shipped,Planes,99,Melbourne,Victoria,Australia
10120,24,100,3417,4/29/2003,Shipped,Planes,118,Melbourne,Victoria,Australia
10120,43,76,3268,4/29/2003,Shipped,Planes,80,Melbourne,Victoria,Australia
10121,34,81.35,2766,5/7/2003,Shipped,Motorcycles,95,Reims,,France
10121,50,100,8284,5/7/2003,Shipped,Motorcycles,150,Reims,,France
10121,32,76.88,2460,5/7/2003,Shipped,Motorcycles,69,Reims,,France
10121,25,86.74,2169,5/7/2003,Shipped,Motorcycles,102,Reims,,France
10121,44,74.85,3293,5/7/2003,Shipped,Motorcycles,81,Reims,,France
10122,42,100,7600,5/8/2003,Shipped,Classic Cars,194,Marseille,,France
10122,37,99.82,3693,5/8/2003,Shipped,Classic Cars,117,Marseille,,France
10122,32,63.84,2043,5/8/2003,Shipped,Classic Cars,79,Marseille,,France
10122,20,100,2142,5/8/2003,Shipped,Classic Cars,115,Marseille,,France
10122,34,100,5005,5/8/2003,Shipped,Classic Cars,141,Marseille,,France
10122,43,72.38,3112,5/8/2003,Shipped,Classic Cars,77,Marseille,,France
10122,31,100,4101,5/8/2003,Shipped,Classic Cars,142,Marseille,,France
10122,25,100,3599,5/8/2003,Shipped,Classic Cars,169,Marseille,,France
10122,21,73.17,1537,5/8/2003,Shipped,Classic Cars,80,Marseille,,France
10122,21,100,2469,5/8/2003,Shipped,Classic Cars,146,Marseille,,France
10122,35,49.74,1741,5/8/2003,Shipped,Motorcycles,62,Marseille,,France
10122,28,100,3583,5/8/2003,Shipped,Classic Cars,148,Marseille,,France
10122,39,30.96,1207,5/8/2003,Shipped,Classic Cars,37,Marseille,,France
10122,34,50.21,1707,5/8/2003,Shipped,Classic Cars,61,Marseille,,France
10122,43,100,5495,5/8/2003,Shipped,Classic Cars,140,Marseille,,France
10122,29,71.14,2063,5/8/2003,Shipped,Classic Cars,80,Marseille,,France
10122,31,44.66,1384,5/8/2003,Shipped,Motorcycles,40,Marseille,,France
10123,26,100,3074,5/20/2003,Shipped,Classic Cars,124,Nantes,,France
10123,46,100,5161,5/20/2003,Shipped,Classic Cars,132,Nantes,,France
10123,34,100,5332,5/20/2003,Shipped,Classic Cars,141,Nantes,,France
10123,50,59.87,2994,5/20/2003,Shipped,Classic Cars,50,Nantes,,France
10125,32,100,3255,5/21/2003,Shipped,Vintage Cars,102,Melbourne,Victoria,Australia
10124,21,100,2856,5/21/2003,Shipped,Vintage Cars,170,Las Vegas,NV,USA
10124,42,53.88,2263,5/21/2003,Shipped,Vintage Cars,60,Las Vegas,NV,USA
10124,42,100,4432,5/21/2003,Shipped,Vintage Cars,127,Las Vegas,NV,USA
10125,34,100,6483,5/21/2003,Shipped,Vintage Cars,168,Melbourne,Victoria,Australia
10124,36,85.59,3081,5/21/2003,Shipped,Vintage Cars,92,Las Vegas,NV,USA
10124,23,57.73,1328,5/21/2003,Shipped,Classic Cars,71,Las Vegas,NV,USA
10124,22,77.9,1714,5/21/2003,Shipped,Classic Cars,73,Las Vegas,NV,USA
10124,45,37.84,1703,5/21/2003,Shipped,Vintage Cars,33,Las Vegas,NV,USA
10124,22,45.25,996,5/21/2003,Shipped,Vintage Cars,44,Las Vegas,NV,USA
10124,32,72.7,2326,5/21/2003,Shipped,Classic Cars,90,Las Vegas,NV,USA
10124,25,93.95,2349,5/21/2003,Shipped,Classic Cars,117,Las Vegas,NV,USA
10124,49,83.04,4069,5/21/2003,Shipped,Classic Cars,85,Las Vegas,NV,USA
10124,43,100,5203,5/21/2003,Shipped,Classic Cars,107,Las Vegas,NV,USA
10124,46,33.23,1529,5/21/2003,Shipped,Vintage Cars,41,Las Vegas,NV,USA
10126,38,100,7329,5/28/2003,Shipped,Classic Cars,214,Madrid,,Spain
10126,22,100,3348,5/28/2003,Shipped,Classic Cars,147,Madrid,,Spain
10126,21,100,2440,5/28/2003,Shipped,Trucks and Buses,136,Madrid,,Spain
10126,38,100,3857,5/28/2003,Shipped,Trucks and Buses,116,Madrid,,Spain
10126,42,54.99,2310,5/28/2003,Shipped,Vintage Cars,53,Madrid,,Spain
10126,43,65.02,2796,5/28/2003,Shipped,Trucks and Buses,60,Madrid,,Spain
10126,31,90.17,2795,5/28/2003,Shipped,Vintage Cars,101,Madrid,,Spain
10126,46,73.7,3390,5/28/2003,Shipped,Vintage Cars,62,Madrid,,Spain
10126,30,97.39,2922,5/28/2003,Shipped,Vintage Cars,104,Madrid,,Spain
10126,38,82.34,3129,5/28/2003,Shipped,Vintage Cars,99,Madrid,,Spain
10126,50,100,7083,5/28/2003,Shipped,Trucks and Buses,121,Madrid,,Spain
10126,43,53.83,2315,5/28/2003,Shipped,Vintage Cars,50,Madrid,,Spain
10126,27,100,3416,5/28/2003,Shipped,Trucks and Buses,127,Madrid,,Spain
10126,34,100,3576,5/28/2003,Shipped,Vintage Cars,97,Madrid,,Spain
10126,43,96.31,4141,5/28/2003,Shipped,Trucks and Buses,96,Madrid,,Spain
10126,26,62.7,1630,5/28/2003,Shipped,Trucks and Buses,64,Madrid,,Spain
10126,45,100,4597,5/28/2003,Shipped,Classic Cars,101,Madrid,,Spain
10127,46,100,11279,6/3/2003,Shipped,Classic Cars,207,NYC,NY,USA
10127,46,100,7366,6/3/2003,Shipped,Classic Cars,151,NYC,NY,USA
10127,42,100,8139,6/3/2003,Shipped,Classic Cars,173,NYC,NY,USA
10127,24,100,2560,6/3/2003,Shipped,Trucks and Buses,118,NYC,NY,USA
10127,45,100,7147,6/3/2003,Shipped,Classic Cars,163,NYC,NY,USA
10127,45,100,6296,6/3/2003,Shipped,Trucks and Buses,122,NYC,NY,USA
10127,22,100,3837,6/3/2003,Shipped,Classic Cars,169,NYC,NY,USA
10127,25,100,3447,6/3/2003,Shipped,Classic Cars,143,NYC,NY,USA
10127,20,60.69,1214,6/3/2003,Shipped,Classic Cars,57,NYC,NY,USA
10127,39,38.19,1489,6/3/2003,Shipped,Classic Cars,35,NYC,NY,USA
10127,20,96.99,1940,6/3/2003,Shipped,Classic Cars,118,NYC,NY,USA
10127,45,51.95,2338,6/3/2003,Shipped,Trucks and Buses,54,NYC,NY,USA
10127,29,70.84,2054,6/3/2003,Shipped,Trains,62,NYC,NY,USA
10127,46,100,6176,6/3/2003,Shipped,Trucks and Buses,115,NYC,NY,USA
10127,46,69.12,3180,6/3/2003,Shipped,Trains,58,NYC,NY,USA
10128,41,100,5544,6/6/2003,Shipped,Vintage Cars,136,Madrid,,Spain
10128,41,100,4837,6/6/2003,Shipped,Trains,100,Madrid,,Spain
10128,43,92.16,3963,6/6/2003,Shipped,Vintage Cars,87,Madrid,,Spain
10128,32,97,3104,6/6/2003,Shipped,Ships,86,Madrid,,Spain
10129,33,100,4398,6/12/2003,Shipped,Classic Cars,136,London,,UK
10129,45,100,6028,6/12/2003,Shipped,Ships,122,London,,UK
10129,41,94.71,3883,6/12/2003,Shipped,Vintage Cars,88,London,,UK
10129,50,77.99,3900,6/12/2003,Shipped,Vintage Cars,83,London,,UK
10129,31,60,1860,6/12/2003,Shipped,Ships,66,London,,UK
10129,45,85.29,3838,6/12/2003,Shipped,Ships,72,London,,UK
10129,42,91.15,3828,6/12/2003,Shipped,Ships,100,London,,UK
10129,30,85.41,2562,6/12/2003,Shipped,Ships,99,London,,UK
10129,32,64.97,2079,6/12/2003,Shipped,Ships,54,London,,UK
10131,21,100,2782,6/16/2003,Shipped,Planes,157,Glendale,CT,USA
10130,40,96.34,3854,6/16/2003,Shipped,Ships,86,Brickhaven,MA,USA
10130,33,100,3424,6/16/2003,Shipped,Vintage Cars,105,Brickhaven,MA,USA
10131,35,67.14,2350,6/16/2003,Shipped,Planes,68,Glendale,CT,USA
10131,29,59.18,1716,6/16/2003,Shipped,Vintage Cars,65,Glendale,CT,USA
10131,50,81.89,4095,6/16/2003,Shipped,Planes,68,Glendale,CT,USA
10131,22,85.99,1892,6/16/2003,Shipped,Ships,90,Glendale,CT,USA
10131,40,100,4428,6/16/2003,Shipped,Planes,99,Glendale,CT,USA
10131,26,85.13,2213,6/16/2003,Shipped,Planes,74,Glendale,CT,USA
10131,21,41.71,876,6/16/2003,Shipped,Planes,49,Glendale,CT,USA
10133,49,69.27,3394,6/27/2003,Shipped,Planes,84,Madrid,,Spain
10133,41,94.1,3858,6/27/2003,Shipped,Planes,109,Madrid,,Spain
10133,46,77.52,3566,6/27/2003,Shipped,Planes,72,Madrid,,Spain
10133,23,100,2642,6/27/2003,Shipped,Motorcycles,99,Madrid,,Spain
10133,49,57.1,2798,6/27/2003,Shipped,Vintage Cars,68,Madrid,,Spain
10133,27,50.19,1355,6/27/2003,Shipped,Vintage Cars,43,Madrid,,Spain
10133,24,77.64,1863,6/27/2003,Shipped,Planes,91,Madrid,,Spain
10133,27,99.67,2691,6/27/2003,Shipped,Planes,118,Madrid,,Spain
10134,41,94.74,3884,7/1/2003,Shipped,Motorcycles,95,Paris,,France
10134,27,100,3308,7/1/2003,Shipped,Motorcycles,118,Paris,,France
10134,31,100,7024,7/1/2003,Shipped,Motorcycles,193,Paris,,France
10134,20,100,2711,7/1/2003,Shipped,Motorcycles,150,Paris,,France
10134,30,61.78,1853,7/1/2003,Shipped,Motorcycles,60,Paris,,France
10134,35,93.54,3274,7/1/2003,Shipped,Motorcycles,112,Paris,,France
10134,43,83.03,3570,7/1/2003,Shipped,Motorcycles,76,Paris,,France
10135,42,100,8009,7/2/2003,Shipped,Classic Cars,194,San Rafael,CA,USA
10135,48,100,6032,7/2/2003,Shipped,Classic Cars,117,San Rafael,CA,USA
10135,24,75.01,1800,7/2/2003,Shipped,Classic Cars,79,San Rafael,CA,USA
10135,29,97.89,2839,7/2/2003,Shipped,Classic Cars,115,San Rafael,CA,USA
10135,48,79.31,3807,7/2/2003,Shipped,Classic Cars,77,San Rafael,CA,USA
10135,45,78,3510,7/2/2003,Shipped,Classic Cars,80,San Rafael,CA,USA
10135,42,100,5433,7/2/2003,Shipped,Classic Cars,146,San Rafael,CA,USA
10135,45,50.36,2266,7/2/2003,Shipped,Motorcycles,62,San Rafael,CA,USA
10135,31,100,4705,7/2/2003,Shipped,Classic Cars,148,San Rafael,CA,USA
10135,29,61.64,1788,7/2/2003,Shipped,Motorcycles,69,San Rafael,CA,USA
10135,20,35.87,717,7/2/2003,Shipped,Classic Cars,37,San Rafael,CA,USA
10135,27,66.13,1786,7/2/2003,Shipped,Classic Cars,61,San Rafael,CA,USA
10135,47,100,6336,7/2/2003,Shipped,Classic Cars,140,San Rafael,CA,USA
10135,23,87.31,2008,7/2/2003,Shipped,Classic Cars,80,San Rafael,CA,USA
10135,33,40.23,1328,7/2/2003,Shipped,Motorcycles,40,San Rafael,CA,USA
10135,30,89.8,2694,7/2/2003,Shipped,Motorcycles,102,San Rafael,CA,USA
10135,44,96,4224,7/2/2003,Shipped,Motorcycles,81,San Rafael,CA,USA
10136,25,100,3645,7/4/2003,Shipped,Classic Cars,141,Toulouse,,France
10136,36,100,5275,7/4/2003,Shipped,Classic Cars,142,Toulouse,,France
10136,41,100,8332,7/4/2003,Shipped,Classic Cars,169,Toulouse,,France
10137,44,99.55,4380,7/10/2003,Shipped,Classic Cars,124,Reims,,France
10137,37,100,4347,7/10/2003,Shipped,Classic Cars,132,Reims,,France
10137,31,100,5124,7/10/2003,Shipped,Classic Cars,141,Reims,,France
10137,26,49.81,1295,7/10/2003,Shipped,Classic Cars,50,Reims,,France
10139,31,100,3185,7/16/2003,Shipped,Vintage Cars,102,Chatswood,NSW,Australia
10139,49,43.13,2113,7/16/2003,Shipped,Vintage Cars,53,Chatswood,NSW,Australia
10139,41,100,7956,7/16/2003,Shipped,Vintage Cars,168,Chatswood,NSW,Australia
10139,46,100,5546,7/16/2003,Shipped,Vintage Cars,101,Chatswood,NSW,Australia
10139,20,71.2,1424,7/16/2003,Shipped,Vintage Cars,62,Chatswood,NSW,Australia
